date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2010-11-02,Togo LCT,Summary of Proposed Investment (Disclosure Policy 2006),29197,https://disclosures.ifc.org/project-detail/SPI/29197/togo-lct,Loan,SOCIETE LOME CONTAINER TERMINAL,Togo,TOG,Infrastructure,A,Gbl Infrastructure &amp; Natural Resources,Active,2011-01-28,2011-01-06,2011-06-30,2012-12-21,,,116.209999,,116.209999,TG,2024-09-15
2011-02-16,CEZ Shperndarje,Summary of Proposed Investment (Disclosure Policy 2006),29208,https://disclosures.ifc.org/project-detail/SPI/29208/cez-shperndarje,Loan,OPERATORI I SHPERNDARJES SE ENERGJISE ELEKTRIKE SH.A.,Albania,ALB,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2011-03-21,2011-03-23,2011-07-01,2011-09-02,,,69.160004,,69.160004,AL,2024-09-15
2010-02-25,"GEF Africa Sustainable Forestry Fund, L.P.",Summary of Proposed Investment (Disclosure Policy 2006),29221,https://disclosures.ifc.org/project-detail/SPI/29221/gef-africa-sustainable-forestry-fund-l.p.,Equity,"GEF AFRICA SUSTAINABLE FORESTRY FUND, LP",Africa Region,AFR,Infrastructure,FI,Regional Industry - MAS Africa,Active,2010-03-29,2010-04-29,2010-05-24,2010-09-24,,,,20.000000,20.000000,3A,2024-09-15
2011-04-11,Zorlu Pakistan,Summary of Proposed Investment (Disclosure Policy 2006),29251,https://disclosures.ifc.org/project-detail/SPI/29251/zorlu-pakistan,Loan,ZORLU ENERJI PAKISTAN LIMITED,Pakistan,PAK,Infrastructure,B,Regional Industry INF MCT,Completed,2011-05-16,2011-05-20,2011-09-22,2012-06-04,,,38.099998,,38.099998,PK,2024-09-15
2010-05-26,National Collateral Management Services Limited,Summary of Proposed Investment (Disclosure Policy 2006),29266,https://disclosures.ifc.org/project-detail/SPI/29266/national-collateral-management-services-limited,Equity,NATIONAL COLLATERAL MANAGEMENT SERVICES LIMITED,India,IND,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-07-15,2011-02-03,2011-05-14,2011-06-10,,,,6.750000,6.750000,IN,2024-09-15
2010-04-29,"Mongolia Opportunities Fund I, L.P.",Summary of Proposed Investment (Disclosure Policy 2006),29310,https://disclosures.ifc.org/project-detail/SPI/29310/mongolia-opportunities-fund-i-l.p.,Equity,MONGOLIA OPPORTUNITIES FUND I LP,Mongolia,MNG,Infrastructure,FI,"Disruptive Tech, Service & Funds",Completed,2010-06-24,2010-08-06,2011-03-02,2011-07-01,,,,7.500000,7.500000,MN,2024-09-15
2010-04-20,"Clean Resources Asia Growth Fund, L.P.",Summary of Proposed Investment (Disclosure Policy 2006),29311,https://disclosures.ifc.org/project-detail/SPI/29311/clean-resources-asia-growth-fund-l.p.,Equity,CLEAN RESOURCES ASIA GROWTH FUND LP,East Asia and Pacific Region,EAP,Infrastructure,FI,"Disruptive Tech, Service & Funds",Active,2010-06-15,2010-06-19,2010-06-25,2011-01-12,,,,25.000000,25.000000,EAP,2024-09-15
2010-04-19,Metito II,Summary of Proposed Investment (Disclosure Policy 2006),29325,https://disclosures.ifc.org/project-detail/SPI/29325/metito-ii,Equity,METITO UTILITIES LLC,"Middle East, Pakistan, and Afg Region",,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2010-05-20,2010-06-03,2010-06-27,2010-10-28,,,,20.000000,20.000000,,2024-09-15
2010-04-05,AkEnerji,Summary of Proposed Investment (Disclosure Policy 2006),29359,https://disclosures.ifc.org/project-detail/SPI/29359/akenerji,Loan,AKENERJI ELEKTRIK URETIM ANONIM SIRKETI,Turkiye,,Infrastructure,A,Regional Industry INF MCT,Completed,2010-06-10,2010-06-10,2010-06-24,2010-09-03,,,75.000000,,75.000000,TR,2024-09-15
2010-08-23,Enerjisa-II,Summary of Proposed Investment (Disclosure Policy 2006),29390,https://disclosures.ifc.org/project-detail/SPI/29390/enerjisa-ii,Loan,ENERJISA ENERJI URETIM ANONIM SIRKETI,Turkiye,,Infrastructure,A,Regional Industry INF MCT,Completed,2010-10-25,2010-12-16,2011-03-24,2011-12-16,,,97.680000,,97.680000,TR,2024-09-15
